user_id,activity_date
1,2022-01-25
1,2022-01-09
1,2022-01-25
1,2022-02-06
1,2022-01-11
1,2022-02-06
1,2022-01-14
2,2022-02-06
2,2022-01-21
2,2022-01-13
2,2022-02-06
2,2022-02-03
2,2022-01-27
2,2022-02-04
2,2022-02-05
2,2022-01-15
2,2022-02-02
2,2022-01-17
2,2022-01-19
2,2022-02-03
2,2022-01-13
2,2022-01-23
2,2022-01-17
2,2022-01-14
2,2022-02-06
2,2022-01-12
2,2022-01-30
2,2022-01-29
2,2022-01-31
2,2022-02-04
2,2022-01-25
2,2022-01-21
2,2022-01-11
2,2022-01-15
2,2022-02-05
2,2022-02-02
2,2022-02-01
2,2022-01-28
2,2022-01-21
2,2022-01-14
2,2022-01-11
2,2022-01-24
2,2022-01-20
2,2022-02-03
2,2022-01-11
2,2022-01-09
2,2022-01-23
2,2022-01-08
2,2022-01-08
2,2022-01-29
2,2022-01-19
2,2022-02-03
2,2022-01-11
2,2022-01-31
2,2022-02-03
3,2022-02-01
3,2022-01-24
3,2022-02-03
3,2022-01-27
3,2022-01-20
3,2022-01-09
3,2022-01-15
3,2022-01-24
3,2022-01-13
3,2022-01-16
3,2022-01-15
3,2022-01-11
3,2022-01-25
3,2022-02-05
3,2022-01-21
3,2022-02-01
3,2022-02-02
3,2022-01-11
3,2022-01-11
3,2022-01-24
3,2022-01-20
3,2022-01-31
3,2022-01-21
3,2022-01-30
3,2022-02-05
3,2022-02-06
3,2022-01-08
4,2022-01-26
4,2022-01-05
4,2022-01-23
4,2022-01-23
4,2022-01-13
4,2022-01-28
4,2022-01-16
4,2022-01-11
4,2022-01-14
4,2022-01-24
4,2022-01-12
4,2022-01-21
4,2022-01-06
4,2022-01-30
4,2022-01-20
4,2022-01-04
4,2022-01-10
4,2022-01-19
4,2022-01-02
4,2022-01-02
4,2022-01-07
4,2022-01-09
4,2022-01-13
4,2022-01-20
4,2022-01-25
4,2022-01-21
4,2022-01-29
4,2022-01-23
4,2022-01-16
4,2022-01-05
4,2022-01-21
5,2022-02-04
5,2022-01-26
5,2022-01-17
5,2022-02-07
5,2022-02-02
5,2022-01-14
5,2022-02-08
6,2022-01-05
6,2022-01-22
6,2022-01-01
6,2022-01-14
6,2022-01-17
6,2022-01-30
6,2022-01-27
6,2022-01-12
6,2022-01-02
6,2022-01-11
6,2022-01-27
6,2022-01-19
6,2022-01-24
6,2022-01-03
6,2022-01-27
6,2022-01-25
6,2022-01-08
6,2022-01-19
6,2022-01-21
6,2022-01-26
6,2022-01-09
6,2022-01-19
6,2022-01-21
6,2022-01-03
6,2022-01-02
6,2022-01-05
6,2022-01-21
6,2022-01-21
6,2022-01-27
6,2022-01-27
6,2022-01-21
6,2022-01-27
6,2022-01-23
6,2022-01-17
6,2022-01-19
6,2022-01-27
6,2022-01-08
6,2022-01-29
6,2022-01-25
7,2022-01-28
7,2022-01-23
7,2022-01-12
7,2022-01-16
7,2022-02-07
7,2022-01-14
7,2022-02-07
7,2022-01-25
7,2022-02-05
7,2022-01-30
7,2022-01-23
8,2022-01-08
8,2022-01-17
8,2022-01-21
8,2022-01-15
8,2022-01-26
8,2022-01-21
8,2022-02-01
8,2022-01-14
8,2022-01-30
8,2022-01-26
8,2022-02-06
8,2022-01-20
8,2022-01-30
8,2022-01-09
8,2022-02-06
8,2022-01-27
8,2022-01-26
8,2022-02-05
8,2022-02-03
8,2022-02-04
8,2022-02-06
8,2022-01-13
9,2022-01-24
9,2022-01-26
9,2022-01-17
9,2022-01-26
9,2022-01-05
9,2022-01-21
9,2022-01-08
9,2022-01-20
9,2022-01-18
9,2022-01-18
9,2022-01-28
9,2022-02-01
9,2022-01-05
9,2022-01-27
9,2022-01-13
9,2022-01-22
9,2022-01-25
9,2022-01-26
9,2022-01-25
9,2022-01-14
9,2022-01-07
9,2022-01-18
9,2022-01-18
9,2022-01-22
9,2022-01-25
9,2022-01-26
9,2022-01-14
9,2022-01-20
9,2022-01-16
9,2022-01-24
9,2022-01-26
9,2022-01-21
9,2022-01-21
9,2022-01-04
9,2022-01-22
10,2022-01-06
10,2022-01-28
10,2022-01-27
10,2022-01-08
10,2022-01-26
10,2022-01-09
10,2022-01-22
10,2022-01-30
10,2022-01-31
10,2022-01-16
10,2022-01-04
10,2022-01-07
10,2022-01-29
10,2022-01-29
10,2022-01-30
10,2022-02-01
10,2022-01-24
