player_id,purchase_datetime,price,purchase_id
1,2022-11-12,9.55,10000
1,2022-07-04,19.13,10001
2,2022-06-14,17.41,10002
3,2022-11-23,26.65,10003
3,2022-12-16,36.16,10004
3,2022-05-23,27.21,10005
3,2022-05-06,5.16,10006
4,2022-02-21,24.28,10007
4,2022-04-04,15.4,10008
5,2022-06-06,11.42,10009
5,2022-03-25,4.96,10010
6,2022-06-21,27.74,10011
6,2022-09-07,49.72,10012
7,2022-07-14,17.3,10013
8,2022-01-06,18.7,10014
8,2022-09-22,36.2,10015
9,2022-04-22,12.86,10016
9,2022-03-10,45.28,10017
9,2022-06-28,35.56,10018
9,2022-11-22,44.65,10019
10,2022-01-23,41.47,10020
10,2022-04-03,9.0,10021
10,2022-01-06,41.38,10022
10,2022-10-21,32.68,10023
11,2022-11-27,48.83,10024
12,2022-05-14,41.67,10025
12,2022-08-30,25.31,10026
13,2022-11-06,29.51,10027
13,2022-01-06,0.99,10028
13,2022-03-01,48.5,10029
14,2022-04-05,46.7,10030
14,2022-05-28,42.31,10031
14,2022-03-23,23.81,10032
15,2022-10-09,19.86,10033
15,2022-08-07,8.62,10034
16,2022-02-09,38.2,10035
16,2022-06-25,36.5,10036
16,2022-04-20,31.58,10037
16,2022-12-26,30.46,10038
17,2022-02-21,3.1,10039
17,2022-04-23,15.65,10040
17,2022-06-10,11.34,10041
17,2022-09-20,16.47,10042
18,2022-05-25,42.78,10043
19,2022-07-22,40.1,10044
20,2022-09-24,10.67,10045
20,2022-01-16,44.34,10046
21,2022-05-05,42.04,10047
22,2022-05-20,16.8,10048
22,2022-12-24,42.6,10049
22,2022-05-12,24.03,10050
23,2022-08-20,26.32,10051
23,2022-03-14,37.01,10052
24,2022-05-31,32.96,10053
25,2022-11-28,13.66,10054
25,2022-06-20,30.86,10055
25,2022-01-08,18.21,10056
25,2022-03-13,32.47,10057
26,2022-11-06,48.63,10058
26,2022-06-11,27.97,10059
26,2022-02-08,11.72,10060
26,2022-07-12,20.37,10061
27,2022-10-24,15.08,10062
27,2022-06-08,24.61,10063
28,2022-09-03,21.12,10064
28,2022-06-06,12.84,10065
29,2022-11-23,40.58,10066
29,2022-11-20,46.76,10067
30,2022-03-27,7.13,10068
30,2022-08-05,2.98,10069
31,2022-01-25,10.52,10070
31,2022-09-22,10.85,10071
31,2022-04-19,43.76,10072
31,2022-09-09,45.1,10073
